query_id,query,sources,avg_kept_in_pool,avg_pred_hamming_kept,avg_query_margin_kept,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,500.0,6.739403577115912,0.40492689906243146,0.07521938988717092,0.21562891767655662,0.29837024655244465,0.07521938988717092,0.058838278311741814,0.04774341830338404
1,+Eyeglasses,2196,500.0,7.2162462449030365,0.0585255052254087,0.18579234972677597,0.4644808743169399,0.6133879781420765,0.18579234972677597,0.13916211293260297,0.12249544626593688
2,-Heavy_Makeup,4087,500.0,5.8329129238306,-0.051809786382288,0.0533398580866161,0.1808172253486665,0.26914607291411796,0.0533398580866161,0.04335698556398313,0.03724002936138923
3,+Male,1595,500.0,6.79345236407552,0.38948321882460185,0.12539184952978055,0.3373040752351097,0.46394984326018807,0.12539184952978055,0.1038244514106583,0.09316614420062637
4,-Young,5355,500.0,6.380561275865072,-0.06991265780767848,0.04855275443510738,0.16619981325863678,0.26442577030812325,0.04855275443510738,0.04366013071895376,0.041475256769373664
5,+Blond_Hair,5469,500.0,6.1881173177095885,0.031794454878927285,0.08173340647284695,0.2574510879502651,0.37849698299506307,0.08173340647284695,0.0693728286706879,0.06194916803803271
6,+Mustache,301,500.0,6.852957134627029,-0.12315902532545533,0.12292358803986711,0.3654485049833887,0.4850498338870432,0.12292358803986711,0.09900332225913608,0.07774086378737548
7,-Young,5355,500.0,6.380561275865072,-0.06991265780767848,0.04855275443510738,0.16619981325863678,0.26442577030812325,0.04855275443510738,0.04366013071895376,0.041475256769373664
8,"+Eyeglasses, +Smiling",612,500.0,6.845379411784652,0.08163225942134768,0.18627450980392157,0.44281045751633985,0.5964052287581699,0.18627450980392157,0.13921568627451017,0.11911764705882377
9,"+Black_Hair, -Wavy_Hair",2572,500.0,5.8223696385349495,0.18894587099279855,0.06804043545878694,0.22783825816485226,0.359253499222395,0.06804043545878694,0.05684292379471244,0.05276049766718457
10,"-Male, -Mustache",27,500.0,8.464148556744611,0.7280517904846756,0.07407407407407407,0.2222222222222222,0.37037037037037035,0.07407407407407407,0.05185185185185185,0.04074074074074074
11,"+Chubby, -Young",584,500.0,6.826027734638894,0.05339872980108987,0.08047945205479452,0.3013698630136986,0.4520547945205479,0.08047945205479452,0.07191780821917812,0.06181506849315088
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,500.0,7.149848412863816,-0.13730084018993982,0.22784810126582278,0.6708860759493671,0.810126582278481,0.22784810126582278,0.24556962025316437,0.17341772151898727
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,500.0,6.36464737443363,0.1644613376873381,0.0,0.029411764705882353,0.08823529411764706,0.0,0.0058823529411764705,0.008823529411764707
