query_id,query,sources,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,0.06790639364814041,0.18575010447137486,0.2555369828666945,0.06790639364814041,0.04893439197659799,0.03972001671541933
1,+Eyeglasses,2196,0.020947176684881604,0.0883424408014572,0.1320582877959927,0.020947176684881604,0.021129326047358857,0.017896174863388053
2,-Heavy_Makeup,4087,0.028627355028138,0.09224369953511133,0.14387080988500123,0.028627355028138,0.021140200636163575,0.018032786885245938
3,+Male,1595,0.00877742946708464,0.0225705329153605,0.035736677115987464,0.00877742946708464,0.005517241379310346,0.005078369905956109
4,-Young,5355,0.008963585434173669,0.03137254901960784,0.05564892623716153,0.008963585434173669,0.007357609710550891,0.007301587301587334
5,+Blond_Hair,5469,0.025964527335893217,0.09124154324373743,0.1439019930517462,0.025964527335893217,0.023624062899981875,0.021649296032181218
6,+Mustache,301,0.07641196013289037,0.16279069767441862,0.23255813953488372,0.07641196013289037,0.04651162790697674,0.03621262458471757
7,-Young,5355,0.008963585434173669,0.03137254901960784,0.05564892623716153,0.008963585434173669,0.007357609710550891,0.007301587301587334
8,"+Eyeglasses, +Smiling",612,0.014705882352941176,0.05228758169934641,0.08823529411764706,0.014705882352941176,0.01143790849673203,0.009803921568627446
9,"+Black_Hair, -Wavy_Hair",2572,0.031493001555209954,0.11936236391912908,0.1885692068429238,0.031493001555209954,0.027993779160186763,0.024494556765163465
10,"-Male, -Mustache",27,0.0,0.0,0.0,0.0,0.0,0.0
11,"+Chubby, -Young",584,0.003424657534246575,0.0136986301369863,0.02226027397260274,0.003424657534246575,0.00273972602739726,0.002226027397260274
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.0379746835443038,0.0759493670886076,0.12658227848101267,0.0379746835443038,0.015189873417721518,0.012658227848101264
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.058823529411764705,0.058823529411764705,0.08823529411764706,0.058823529411764705,0.011764705882352941,0.011764705882352941
