query_id,query,sources,avg_kept_in_pool,avg_pred_hamming_kept,avg_query_margin_kept,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,500.0,5.211338736151134,0.25492691566581527,0.0725031341412453,0.20434600919348098,0.28123694107814456,0.0725031341412453,0.05545340576681928,0.04492269118261522
1,+Eyeglasses,2196,500.0,5.2046350402475925,0.0585255052254087,0.1848816029143898,0.46311475409836067,0.6142987249544627,0.1848816029143898,0.13816029143897815,0.12217668488160173
2,-Heavy_Makeup,4087,500.0,4.264820856251167,0.023190205185071082,0.04428676290677759,0.161242965500367,0.23905064839735748,0.04428676290677759,0.037974064105701,0.03178370442867589
3,+Male,1595,500.0,4.848579545155588,0.38948321882460185,0.12163009404388715,0.33793103448275863,0.4664576802507837,0.12163009404388715,0.10332288401253915,0.09278996865203706
4,-Young,5355,500.0,4.8372562520644244,-0.06991265780767848,0.047245564892623715,0.16657329598506068,0.257889822595705,0.047245564892623715,0.043772175536880946,0.04061624649859871
5,+Blond_Hair,5469,500.0,4.618023621183707,-0.018205559542389362,0.08173340647284695,0.2569025415980984,0.38069116840373013,0.08173340647284695,0.06940939842749906,0.06207716218687166
6,+Mustache,301,500.0,5.1187178510368065,-0.12315902532545533,0.12624584717607973,0.3554817275747508,0.4950166112956811,0.12624584717607973,0.09966777408637861,0.07873754152823928
7,-Young,5355,500.0,4.8372562520644244,-0.06991265780767848,0.047245564892623715,0.16657329598506068,0.257889822595705,0.047245564892623715,0.043772175536880946,0.04061624649859871
8,"+Eyeglasses, +Smiling",612,500.0,4.859147279480704,0.006632267480431348,0.184640522875817,0.4395424836601307,0.5964052287581699,0.184640522875817,0.13856209150326831,0.11748366013071922
9,"+Black_Hair, -Wavy_Hair",2572,500.0,4.2797272641959125,0.20144585993366887,0.06726283048211508,0.22939346811819597,0.35031104199066876,0.06726283048211508,0.05622083981337498,0.05077760497667143
10,"-Male, -Mustache",27,500.0,6.495481853131895,0.7280517904846756,0.07407407407407407,0.2222222222222222,0.37037037037037035,0.07407407407407407,0.05185185185185185,0.044444444444444446
11,"+Chubby, -Young",584,500.0,5.018993394832089,0.0033987452543131017,0.07876712328767123,0.2962328767123288,0.4520547945205479,0.07876712328767123,0.06780821917808218,0.060616438356164565
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,500.0,4.915114155298547,-0.08730084305228311,0.22784810126582278,0.6708860759493671,0.8227848101265823,0.22784810126582278,0.23797468354430362,0.17468354430379737
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,500.0,4.3845296116436225,0.13946133852005005,0.0,0.0,0.058823529411764705,0.0,0.0,0.0058823529411764705
