query_id,query,sources,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10,method,result_dir
9,"+Black_Hair, -Wavy_Hair",2572,0.0314930015552099,0.119362363919129,0.1885692068429238,0.0314930015552099,0.0279937791601867,0.0244945567651634,Direct sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/02_direct_sequential
10,"-Male, -Mustache",27,0.0,0.0,0.0,0.0,0.0,0.0,Direct sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/02_direct_sequential
11,"+Chubby, -Young",584,0.0034246575342465,0.0136986301369863,0.0222602739726027,0.0034246575342465,0.0027397260273972,0.0022260273972602,Direct sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/02_direct_sequential
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.0379746835443038,0.0759493670886076,0.1265822784810126,0.0379746835443038,0.0151898734177215,0.0126582278481012,Direct sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/02_direct_sequential
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0588235294117647,0.0588235294117647,0.088235294117647,0.0588235294117647,0.0117647058823529,0.0117647058823529,Direct sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/02_direct_sequential
0,+Smiling,4786,0.0676974508984538,0.1913915587129126,0.2615963226076055,0.0676974508984538,0.0509820309235264,0.041140827413288,Contrastive sum,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/03_contrastive_sum
1,+Eyeglasses,2196,0.0569216757741347,0.1671220400728597,0.2518214936247723,0.0569216757741347,0.0410746812386159,0.0347905282331512,Contrastive sum,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/03_contrastive_sum
2,-Heavy_Makeup,4087,0.0288720332762417,0.1074137509175434,0.1685833129434793,0.0288720332762417,0.0240274039637878,0.0212870075850256,Contrastive sum,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/03_contrastive_sum
3,+Male,1595,0.0438871473354232,0.1517241379310344,0.2376175548589341,0.0438871473354232,0.0418808777429468,0.0390595611285268,Contrastive sum,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/03_contrastive_sum
4,-Young,5355,0.0110177404295051,0.0397759103641456,0.0696545284780578,0.0110177404295051,0.009859943977591,0.0094304388422036,Contrastive sum,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/03_contrastive_sum
5,+Blond_Hair,5469,0.038398244651673,0.1263485097824099,0.1938197110989211,0.038398244651673,0.033753885536661,0.0301700493691712,Contrastive sum,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/03_contrastive_sum
6,+Mustache,301,0.0963455149501661,0.1827242524916943,0.2524916943521594,0.0963455149501661,0.0498338870431893,0.0395348837209302,Contrastive sum,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/03_contrastive_sum
7,-Young,5355,0.0110177404295051,0.0397759103641456,0.0696545284780578,0.0110177404295051,0.009859943977591,0.0094304388422036,Contrastive sum,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/03_contrastive_sum
